LocationID,LocationAbbr,Stratification1,Year,yhat,yhat_lower,yhat_upper
31027,NE,Ages 65+ years,2030,1316.3277659147636,1292.63663859268,1338.4273541338648
31029,NE,Ages 65+ years,2030,1316.0492731030577,1294.280410668338,1338.911046864568
31031,NE,Ages 65+ years,2030,1096.0844732534674,1083.5784537757943,1108.069808287973
31033,NE,Ages 65+ years,2030,1029.110426239183,999.9391208794278,1054.7948174438307
31035,NE,Ages 65+ years,2030,1483.1492717702433,1359.2161774350614,1609.2564153754581
31037,NE,Ages 65+ years,2030,1072.7473728580644,1026.0158742613762,1115.8981849867523
31039,NE,Ages 65+ years,2030,1485.5814930739878,1433.6857301887126,1539.181219335807
31041,NE,Ages 65+ years,2030,1356.2786504137302,1316.883353821282,1397.4042992445375
31043,NE,Ages 65+ years,2030,1200.0096258718668,1148.7750874517653,1253.6995890678804
31045,NE,Ages 65+ years,2030,1330.5885392924092,1298.9914444957287,1361.1347215461803
31047,NE,Ages 65+ years,2030,1295.6479222091523,1134.589192606309,1452.676240914517
31049,NE,Ages 65+ years,2030,1316.0492731030577,1292.9011402310725,1339.5484138691795
31051,NE,Ages 65+ years,2030,1576.9654210095844,1514.2409311820502,1635.4901845294228
31053,NE,Ages 65+ years,2030,1275.1888667897215,1227.9752920648039,1319.504288006009
31055,NE,Ages 65+ years,2030,1203.7044907241939,1113.3870879322837,1292.327417626327
31057,NE,Ages 65+ years,2030,1316.0492731030577,1292.848102173624,1339.516222146378
31059,NE,Ages 65+ years,2030,1356.8977788157792,1325.4270570968672,1386.0283247764512
31061,NE,Ages 65+ years,2030,1316.0492731030577,1293.0114851334513,1338.1640938659623
31063,NE,Ages 65+ years,2030,1316.0492731030577,1291.6392205892548,1339.1223858224898
31065,NE,Ages 65+ years,2030,1479.8576754605015,1354.6888146523822,1610.6193227765634
31067,NE,Ages 65+ years,2030,1381.7946309126664,1354.7665294143062,1408.5687317681795
31069,NE,Ages 65+ years,2030,1316.0492731030577,1292.1392834203614,1337.4009949963338
31071,NE,Ages 65+ years,2030,1316.0492731030577,1290.8046464866954,1336.4726236402655
31073,NE,Ages 65+ years,2030,1316.0492731030577,1292.0252936951485,1339.1599567970436
31075,NE,Ages 65+ years,2030,1316.0492731030577,1293.3586425319195,1338.8276472455561
31077,NE,Ages 65+ years,2030,1316.0492731030577,1293.3747462976705,1337.1960083399538
31079,NE,Ages 65+ years,2030,1234.3142183433847,1092.10097562161,1382.1403447788148
31081,NE,Ages 65+ years,2030,978.7863688013794,960.358686409056,997.4723348634036
31083,NE,Ages 65+ years,2030,1316.0492731030577,1292.010302343986,1337.6284812078184
31085,NE,Ages 65+ years,2030,1316.0492731030577,1292.8680505113646,1340.1927378254181
31087,NE,Ages 65+ years,2030,1316.0492731030577,1292.4178184573766,1340.4823315331487
31089,NE,Ages 65+ years,2030,1427.2213836950611,1326.6510227059334,1530.3841451605615
31091,NE,Ages 65+ years,2030,1316.0492731030577,1294.4895107150567,1340.2859058302408
31093,NE,Ages 65+ years,2030,1245.2780451448837,1216.7695838384143,1274.9707403575485
31095,NE,Ages 65+ years,2030,1968.7256829019834,1948.7661590034268,1989.5681008917036
31097,NE,Ages 65+ years,2030,1316.0492731030577,1295.3842874815548,1340.815520726385
31099,NE,Ages 65+ years,2030,1062.8786187681353,843.1158764784657,1275.9958382299506
31101,NE,Ages 65+ years,2030,879.6126332538876,804.7528905377193,958.116904689286
31103,NE,Ages 65+ years,2030,1316.0492731030577,1291.843305256162,1340.9166199901724
31105,NE,Ages 65+ years,2030,1316.0492731030577,1294.800948890168,1338.0724944848441
31107,NE,Ages 65+ years,2030,1243.8535323560782,1015.2373630795164,1448.6083159172954
31109,NE,Ages 65+ years,2030,1411.7703033832026,1390.209946309613,1431.474420136056
31111,NE,Ages 65+ years,2030,1072.4634951291853,1047.9375548422677,1096.0552786407363
31113,NE,Ages 65+ years,2030,1316.0492731030577,1292.4294569168164,1339.0657779818348
31115,NE,Ages 65+ years,2030,1316.0492731030577,1294.4839167885607,1341.6391313471763
31117,NE,Ages 65+ years,2030,1316.0492731030577,1292.7437079077586,1338.846598504323
31119,NE,Ages 65+ years,2030,1617.1952316850782,1578.7284285116416,1656.7226276052816
31121,NE,Ages 65+ years,2030,1125.9366836215036,1033.059003169658,1225.8489601419972
31123,NE,Ages 65+ years,2030,1316.0492731030577,1293.5708157762099,1336.9317643284912
31125,NE,Ages 65+ years,2030,1316.0492731030577,1292.5481713813283,1340.231077306054
31127,NE,Ages 65+ years,2030,1519.8559191662912,1477.2515040262674,1561.1784331304257
31129,NE,Ages 65+ years,2030,1459.2522609717842,1365.494057165452,1550.4682951128318
31131,NE,Ages 65+ years,2030,1315.0062727781312,1294.6338286269663,1337.5640323944367
31133,NE,Ages 65+ years,2030,1316.0492731030577,1294.6738572146116,1337.0955695069285
31135,NE,Ages 65+ years,2030,1316.0492731030577,1294.078295338691,1338.7493958248722
31137,NE,Ages 65+ years,2030,1306.9520826230153,1294.880308602283,1318.0489218466446
31139,NE,Ages 65+ years,2030,1035.7341097580402,1005.4302729290279,1064.3574632475354
31141,NE,Ages 65+ years,2030,1157.4765569756623,1112.784658257568,1207.1297439990929
31143,NE,Ages 65+ years,2030,1373.7391743749934,1271.664840247466,1479.5446903739282
31145,NE,Ages 65+ years,2030,1402.4027220639668,1375.8309105025128,1429.14640827206
31147,NE,Ages 65+ years,2030,1503.6596825073632,1462.4813900710462,1544.0436464078673
31149,NE,Ages 65+ years,2030,1316.0492731030577,1292.3872202078096,1338.85459664769
31151,NE,Ages 65+ years,2030,1678.39780401784,1658.9855241690598,1698.6115910968433
31153,NE,Ages 65+ years,2030,1188.796554091925,1137.4617967644704,1237.9555434522815
31155,NE,Ages 65+ years,2030,1545.375065268899,1500.4213151364497,1594.518605325755
31157,NE,Ages 65+ years,2030,860.9026614832713,825.6407665024328,897.8022870618165
31159,NE,Ages 65+ years,2030,1334.0499336578532,1018.5752455892662,1658.3004234762852
31161,NE,Ages 65+ years,2030,1512.4984002871972,1439.6108289545507,1586.5468554762463
31163,NE,Ages 65+ years,2030,1316.0492731030577,1291.8372218642194,1338.3182325342698
31165,NE,Ages 65+ years,2030,1316.0492731030577,1291.867374002267,1340.0778101177557
31167,NE,Ages 65+ years,2030,1316.0492731030577,1294.6322761848498,1339.9663680418328
31169,NE,Ages 65+ years,2030,1529.7104901092212,1463.0939640348788,1603.7021263843578
31171,NE,Ages 65+ years,2030,1316.0492731030577,1293.3104483873508,1340.5063828531258
31173,NE,Ages 65+ years,2030,1316.0492731030577,1293.1975200021172,1340.7821182398372
31175,NE,Ages 65+ years,2030,1188.8667573289504,1160.7427327357177,1218.0140262397904
31177,NE,Ages 65+ years,2030,1282.920324830868,1244.269248098367,1320.926954932513
31179,NE,Ages 65+ years,2030,1125.1550333718524,1068.589230217248,1176.7666455598674
31181,NE,Ages 65+ years,2030,1316.0492731030577,1293.5699129479156,1339.1722438734103
31183,NE,Ages 65+ years,2030,1316.0492731030577,1293.1747914279047,1338.5724134080554
31185,NE,Ages 65+ years,2030,1136.9574670337802,942.585675885932,1316.2967215786334
32001,NV,Ages 65+ years,2030,1969.2152251275536,1887.2657328958321,2058.6130676238236
32003,NV,Ages 65+ years,2030,1666.855915291696,1617.493107739769,1714.098171588994
32005,NV,Ages 65+ years,2030,1396.4726597484625,1348.4212046388236,1444.8355631410288
32007,NV,Ages 65+ years,2030,1274.9934814535593,1140.2988556580633,1401.0343141929197
32009,NV,Ages 65+ years,2030,1751.2615707021682,1685.9029736845866,1815.0624587520156
32011,NV,Ages 65+ years,2030,1751.2615707021682,1683.1386166866919,1813.2461269915298
32013,NV,Ages 65+ years,2030,1288.5507451608037,1267.5378677823642,1309.5078519874728
32015,NV,Ages 65+ years,2030,1751.2615707021682,1690.36804622932,1813.61098839757
32017,NV,Ages 65+ years,2030,1751.2615707021682,1684.6649030847943,1815.5528926956363
32019,NV,Ages 65+ years,2030,1956.7465986962209,1885.047744278705,2030.9474464904165
32021,NV,Ages 65+ years,2030,1641.0717950353594,1557.7881314720655,1717.8105224252527
